,Country,GMI_CNTRY,Year,Total population (millions),Continent,Sub-Continent,Military expenditure (Current USD - $ millions),Military expenditure per capita,Military expenditure (Constant USD 2022 - $ millions),Percentage change in military expenditure,Military expenditure as a share of GDP,Military expendenture as a share of government spending,Total of armed forces personnel,Armed forces personnel (% of total labour force)
4199,New Zealand,NZL,2014,4.5165,Oceania,Oceania,1994.7754972243865,441.66400912750726,1834.038371889481,-0.22536798908772138,0.9980514925620931,2.648484431276228,8500.0,0.343448914
4200,Brunei,BRN,2014,0.416656,Asia,South East Asia,527.785180451652,1266.716861035607,514.4387981640009,29.967583834387803,3.0868609578118504,9.05517941773866,9250.0,4.555034668
4201,Pakistan,PAK,2014,208.251628,Asia,South Asia,8676.510710112492,41.66359126907998,7952.2969623484105,5.182502764769681,3.0965796970477864,17.343601403786266,925800.0,1.418382172
4202,Russia,RUS,2014,143.819667,Europe,Eastern Europe,84696.5046534978,588.9076676383752,80481.93654101797,7.172363222323619,4.112992978223226,11.772196321338043,1287000.0,1.706286452
4204,France,FRA,2014,66.312067,Europe,Western Europe,53134.75089880245,801.2832852699713,47199.07523867558,1.740305415347465,1.8629614394726868,3.2561459713551657,312350.0,1.027249322
4205,Belgium,BEL,2014,11.209057,Europe,Western Europe,5191.507314943925,463.1529052750758,5046.4605158298655,-1.6210703611145738,0.9709597911481124,1.7463370658145485,37600.0,0.755182945
4206,Liberia,LBR,2014,4.519398,Africa,Sub-Saharan Africa,14.531,3.2152512347883504,41.207341015458866,-10.756642510908343,1.0325291647879062,1.4053191489361703,2050.0,0.102730064
4207,Zambia,ZMB,2014,15.737793,Africa,Sub-Saharan Africa,443.6046665349359,28.187222092382072,410.3489761415775,23.038643462376985,1.661869557434403,6.716087598425196,16500.0,0.327538548
4208,Indonesia,IDN,2014,256.229761,Asia,South East Asia,6929.248704206713,27.04310645712507,7260.8175114996575,-11.893803147476268,0.7778551782328311,4.180613379582848,676500.0,0.543469463
4209,Kazakhstan,KAZ,2014,17.288285,Asia,Central Asia,2306.468864809557,133.41224215181305,1738.976835371648,-0.19999369431841219,1.041692133472696,4.899723419919219,70500.0,0.786122233
4210,Mexico,MEX,2014,118.755887,Americas,Central America and the Caribbean,6758.693845002238,56.91249516752157,6413.144147022861,4.467820613470197,0.49532104229640417,1.8379661169519577,336050.0,0.650574254
4211,Saudi Arabia,SAU,2014,32.125564,Asia,Middle East,80762.4,2513.9605331131306,90665.3967989645,17.86903019621473,10.535060463745252,26.552603892688058,251500.0,1.937896094
4212,Senegal,SEN,2014,13.970308,Africa,Sub-Saharan Africa,239.89363451230562,17.1716782845665,228.60973094867887,2.5277215167350375,1.2133660029387094,5.252699267499845,18600.0,0.510025287
4213,Algeria,DZA,2014,38.760168,Africa,North Africa,9724.379971923256,250.88590874846713,10098.601350997553,15.167050949225924,5.548483335848531,13.437741609898591,317200.0,2.812222529
4214,Georgia,GEO,2014,3.719414,Europe,Eastern Europe,415.64321085748213,111.74964950325028,393.0415418070106,-3.124221545273176,2.3579395937031484,8.408425328109102,32350.0,1.586160638
4215,Central African Republic,CAF,2014,4.798734,Africa,Sub-Saharan Africa,38.40700992145633,8.00357134224492,39.43467188034331,-30.19625746051218,2.029654395464622,11.265692114193502,8150.0,0.463409947
4216,Chile,CHL,2014,17.687108,Americas,South America,5102.777422117338,288.50264396629103,4652.549499279235,1.4757462971087598,1.967106876864676,8.246923725391573,109450.0,1.292368614
4217,China,CHN,2014,1371.86,Asia,East Asia,182109.20461907954,132.74620195871267,193619.06092582084,7.9820788413457855,1.7384092879439417,5.989542682980333,2993000.0,0.383687244
4218,Colombia,COL,2014,46.677947,Americas,South America,11845.950895382397,253.78046072554125,8195.925731323805,-1.378166393723368,3.1082588481104416,9.942863650394944,455750.0,1.940346325
4219,Kyrgyzstan,KGZ,2014,5.8355,Asia,Central Asia,127.9710888392472,21.92975560607441,125.2328281718457,10.772342849790139,1.7135690234792968,4.4499110577127095,20400.0,0.793262865
4220,Mali,MLI,2014,17.551814,Africa,Sub-Saharan Africa,218.11840312495508,12.427114549240043,197.84638774574373,40.6529414738559,1.51593383195421,7.595185440818108,13800.0,0.214388514
4221,Mozambique,MOZ,2014,26.038704,Africa,Sub-Saharan Africa,173.75224899254573,6.672845506924835,164.39091572131636,12.046905021531806,0.9807594938658402,2.432355199942848,11200.0,0.098881666
4222,Belize,BLZ,2014,0.352335,Americas,Central America and the Caribbean,19.916875,56.52823307363731,22.185481775560753,10.6956111218514,0.9315819934759365,3.7543590951932138,1050.0,0.695065038
4224,Papua New Guinea,PNG,2014,8.464153,Oceania,Oceania,112.3757559260335,13.276668784937312,116.96237725751998,11.433866238181567,0.48441330998248683,1.789827876277986,1900.0,0.074298824
4225,Cyprus,CYP,2014,1.176995,Europe,Western Europe,357.8068225989243,304.00029107933705,308.77018171486304,-5.696780199715468,1.5426019597891618,3.826475595913734,12750.0,2.023048472
4226,Peru,PER,2014,30.353951,Americas,South America,3217.5746568971613,106.00183998772224,3142.893875408139,-1.0923330557856104,1.6024876224024407,7.032531500776862,158000.0,0.947043373
4227,Philippines,PHL,2014,101.325201,Asia,South East Asia,3103.131460158857,30.625465624873094,3219.0072796101617,-7.2291249019798665,1.043127065594658,6.197461885546423,165500.0,0.392367492
4228,South Africa,ZAF,2014,54.729551,Africa,Sub-Saharan Africa,3892.4850910694445,71.12218207435038,3804.6096668820155,0.10647564370542817,1.021893996259682,3.4851744905535846,82250.0,0.374183427
4229,Spain,ESP,2014,46.480882,Europe,Western Europe,17178.54931476189,369.5831183832073,15723.061702200048,-0.1470277525033037,1.2539124236883696,2.7659988079801243,200000.0,0.866126957
4231,Tajikistan,TJK,2014,8.326348,Asia,Central Asia,104.28068919281768,12.524180972596591,82.51467140101668,27.834344922942613,1.1283850454993969,4.09648145199809,16300.0,0.727853061
4232,"Tanzania, United Republic of",TZA,2014,50.814552,Africa,Sub-Saharan Africa,507.2857989940747,9.98308120465324,504.9468781669635,11.411284516492426,1.015761003209505,5.875334536802199,28400.0,0.120815184
4233,Thailand,THA,2014,69.960943,Asia,South East Asia,5582.641023404271,79.79653766822828,5605.026650978544,4.2441917829538545,1.37997604796617,6.223490061883695,453550.0,1.127974958
4234,Jamaica,JAM,2014,2.784543,Americas,Central America and the Caribbean,121.31024354997584,43.56558456808741,128.7237094744679,-3.456425482509562,0.8727842167865185,3.208053271703088,3450.0,0.259076501
4235,Trinidad and Tobago,TTO,2014,1.450661,Americas,Central America and the Caribbean,188.8858067564197,130.2067173215656,217.2568740280561,-15.806756291365154,0.656301051048555,1.955082364341085,4050.0,0.572059754
4236,Albania,ALB,2014,2.889104,Europe,Central Europe,178.12036802776305,61.652459734147,200.3290351873499,-2.8103274699502245,1.3465159912891382,4.243784982765552,8500.0,0.676692328
4237,Armenia,ARM,2014,2.88993,Europe,Eastern Europe,457.807021791353,158.41457121499587,552.3112234658215,1.536848937208779,3.9433782647458138,16.437129883807252,49100.0,3.424564379
4238,Jordan,JOR,2014,8.658026,Asia,Middle East,1548.8732394366198,178.89450082924444,1755.8743939589583,4.17320338691225,4.20345261907888,11.814568113450795,115500.0,5.666036453
4239,Austria,AUT,2014,8.546356,Europe,Western Europe,3305.1592564824546,386.73315931169435,3188.815042462056,0.8153064099922114,0.7477800953797834,1.4291942997452785,22500.0,0.506955885
4240,Benin,BEN,2014,10.614844,Africa,Sub-Saharan Africa,92.99070618812131,8.760440208835977,79.18162270278577,8.803899617938725,0.700924948797968,4.927569782945138,9450.0,0.230190298
4241,Bosnia and Herzegovina,BIH,2014,3.571068,Europe,Central Europe,190.38045464127472,53.3119096699572,168.72187774241988,-2.715974607778404,1.0258268873453398,2.2214104796580654,10500.0,0.749635891
4242,Burkina Faso,BFA,2014,18.169842,Africa,Sub-Saharan Africa,177.16697177629396,9.750606074411323,171.7120694855452,6.996583624268626,1.2723419522490473,6.079707931924818,11450.0,0.176665333
4243,Cambodia,KHM,2014,15.210817,Asia,South East Asia,277.9740681114551,18.2747625003611,343.4079970522408,10.212863635614621,1.6567948791879923,7.662882292254845,191300.0,2.596292174
4244,Cape Verde,CPV,2014,0.546076,Africa,Sub-Saharan Africa,10.04886206990117,18.40194784224388,8.975656900092119,2.6986075021522504,0.4925961739326185,1.7739263412769208,1200.0,0.527576883
4245,Chad,TCD,2014,13.697126,Africa,Sub-Saharan Africa,392.38295459279203,28.647101194279152,359.1218870584671,-46.84008149603361,2.80651400580688,12.769710772633324,39850.0,0.906969715
